question,answer,result1,result2,result3,answers
여행할  때 선호하는 교통 수단은 무엇인가요?,a,모험가형,문화 예술형,,차나 오토바이로 자유로운 여행을 즐기는 것
여행할  때 선호하는 교통 수단은 무엇인가요?,b,자유 여행형,,,공공 교통을 이용해 현지인들과 함께 이동하는 것
여행할  때 선호하는 교통 수단은 무엇인가요?,c,휴양형,,,비행기로 멀리 떠나는 것
여행할  때 선호하는 교통 수단은 무엇인가요?,d,자유 여행형,,,자전거로 체력을 쑥쑥 키우는 것
여행할 때 나는 어떤 종류의 경험을 선호하나요?,a,자유 여행형,,,신나는 파티나 축제에 참여하는 것
여행할 때 나는 어떤 종류의 경험을 선호하나요?,b,휴양형,,,조용한 휴식과 자연을 즐기는 것
여행할 때 나는 어떤 종류의 경험을 선호하나요?,c,문화 체험형,,,유적지나 역사적 장소를 탐험하는 것
여행할 때 나는 어떤 종류의 경험을 선호하나요?,d,문화 체험형,문화 예술형,,새로운 문화와 인종을 경험하는 것
여행 중 나는 어떤 종류의 음식을 선호하나요?,a,자유 여행형,문화 체험형,음식 여행형,현지 먹거리와 음식 문화를 체험하는 것
여행 중 나는 어떤 종류의 음식을 선호하나요?,b,휴양형,,,미리 알고 있는 음식을 먹는 것
여행 중 나는 어떤 종류의 음식을 선호하나요?,c,문화 예술형,,,"특별한 식사 경험 (미술관 내 레스토랑, 뷔페 등)"
여행 중 나는 어떤 종류의 음식을 선호하나요?,d,자유 여행형,,,"빠른 식사 (패스트푸드, 패스트캐주얼 등)"
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,a,휴양형,,,자연과 풍경의 아름다움
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,b,문화 체험형,문화 예술형,,역사와 문화의 깊이 있는 경험
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,c,음식 여행형,,,먹거리와 음식 문화의 다양성
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,d,모험가형,자유 여행형,,쇼핑과 엔터테인먼트의 풍부함
여행을 할 때 가장 선호하는 계절은 무엇인가요?,a,휴양형,자유 여행형,,봄의 꽃길을 걸으며 청량한 공기를 마시는 것
여행을 할 때 가장 선호하는 계절은 무엇인가요?,b,모험가형,,,여름 바다와 해수욕을 즐기고 캠핑을 하는 것
여행을 할 때 가장 선호하는 계절은 무엇인가요?,c,휴양형,자유 여행형,,가을의 단풍구경과 포근한 온천을 즐기는 것
여행을 할 때 가장 선호하는 계절은 무엇인가요?,d,모험가형,,,겨울의 스키장에서 눈썰매를 타는 것
여행지를 선택할 때 어떤 것을 가장 고려하나요?,a,자유 여행형,,,숙박 시설의 가격과 품질을 중점적으로 고려하는 것
여행지를 선택할 때 어떤 것을 가장 고려하나요?,b,자유 여행형,,,대중교통이 발달되어 있어 이동이 편리한 것
여행지를 선택할 때 어떤 것을 가장 고려하나요?,c,문화 예술형,,,유명한 명소나 특별한 이벤트가 있는 곳을 선택하는 것
여행지를 선택할 때 어떤 것을 가장 고려하나요?,d,문화 체험형,,,현지의 문화와 역사를 체험하며 지식과 경험을 쌓는 것
여행할 때 선호하는 숙박 시설은 무엇인가요?,a,휴양형,,,호텔이나 리조트와 같은 고급스러운 숙박 시설을 선호하는 것
여행할 때 선호하는 숙박 시설은 무엇인가요?,b,자유 여행형,,,로컬 펜션과 같은 복잡한 분위기의 숙박 시설을 선호하는 것
여행할 때 선호하는 숙박 시설은 무엇인가요?,c,문화 체험형,음식 여행형,,에어비앤비와 같은 로컬 렌탈 하우스를 선호하는 것
여행할 때 선호하는 숙박 시설은 무엇인가요?,d,모험가형,,,캠핑이나 카라반같은 아웃도어 숙박 시설을 선호하는 것
여행중에 가장 좋아하는 활동은?,a,모험가형,,,"야외 활동 (트레킹, 등산, 서핑 등)"
여행중에 가장 좋아하는 활동은?,b,문화 체험형,,,"문화 관광 (박물관, 유적지, 사원, 궁전 등)"
여행중에 가장 좋아하는 활동은?,c,자유형,음식 여행형,,쇼핑 및 시장 탐방
여행중에 가장 좋아하는 활동은?,d,문화 예술형,,,공연 및 축제 참가
여행을 떠나는 목적은 무엇인가요?,a,휴양형,,,스트레스 해소와 휴식을 취하기 위해서
여행을 떠나는 목적은 무엇인가요?,b,모험가형,음식 여행형,,"새로운 경험과 문화, 사람들을 만나기 위해서"
여행을 떠나는 목적은 무엇인가요?,c,자유 여행형,문화 예술형,,여행을 통해 세상을 보며 배우기 위해서
여행을 떠나는 목적은 무엇인가요?,d,문화 체험형,,,자연과 문화를 경험하며 감동과 충만한 추억을 쌓기 위해서
여행을 할 때 선호하는 방식은 무엇인가요?,a,휴양형,자유 여행형,문화 예술형,자유여행
여행을 할 때 선호하는 방식은 무엇인가요?,b,문화 체험형,,,패키지 여행
여행을 할 때 선호하는 방식은 무엇인가요?,c,문화 체험형,,,단체 여행
여행을 할 때 선호하는 방식은 무엇인가요?,d,모험가형,음식 여행형,,배낭 여행
여행을 할 때 가장 중요하게 고려하는 것은 무엇인가요?,a,문화 체험형,문화 예술형,,여행 중 얻는 지식과 경험의 깊이
여행을 할 때 가장 중요하게 고려하는 것은 무엇인가요?,b,모험가형,음식 여행형,,여행 목적지의 다양한 관광지와 놀거리
여행을 할 때 가장 중요하게 고려하는 것은 무엇인가요?,c,자유 여행형,,,여행 중 인생샷과 사진을 남기는 것
여행을 할 때 가장 중요하게 고려하는 것은 무엇인가요?,d,휴양형,,,여행 기간 동안의 휴식과 여유
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,a,문화 체험형,음식 여행형,,여행 가이드북
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,b,문화 예술형,,,소설
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,c,휴양형,,,자기계발서
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,d,모험가형,,,만화책
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,a,자유 여행형,음식 여행형,,특산품 및 기념품
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,b,휴양형,,,유명 브랜드의 쇼핑몰
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,c,문화 체험형,문화 예술형,,지역 시장 및 벼룩시장
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,d,문화 예술형,문화 체험형,,수공예품 및 공예체험
